employee_id,age,gender,marital_status,salary,employment_type,region,has_dependents,tenure_years,enrolled
E00001,56,Male,Divorced,62006,Full-time,West,0,1.5,1
E00002,46,Male,Married,50361,Full-time,Central,0,2.1,1
E00003,32,Female,Divorced,40131,Contract,South,1,7.9,0
E00004,60,Male,Single,64234,Full-time,West,0,15.0,1
E00005,25,Male,Married,58802,Full-time,North,0,0.1,1
E00006,38,Male,Single,53425,Part-time,South,0,2.0,0
E00007,56,Female,Single,46203,Full-time,North,0,4.2,0
E00008,36,Male,Single,39418,Full-time,Central,1,0.2,0
E00009,40,Female,Married,33815,Full-time,North,1,8.5,1
E00010,28,Female,Single,70489,Full-time,South,0,8.3,0
E00011,28,Female,Divorced,62401,Full-time,South,0,0.7,0
E00012,41,Female,Single,58529,Part-time,South,1,4.6,0
E00013,53,Female,Single,43595,Full-time,Central,0,2.6,1
E00014,57,Male,Single,80508,Intern,East,0,0.1,1
E00015,41,Female,Married,39583,Full-time,Central,1,1.1,0
E00016,20,Male,Single,44328,Contract,South,0,0.9,0
E00017,39,Female,Divorced,77194,Part-time,Central,0,6.4,0
E00018,19,Male,Married,49213,Full-time,West,1,6.8,0
E00019,41,Female,Divorced,76071,Full-time,West,0,0.1,1
E00020,61,Male,Single,55678,Contract,East,0,4.1,0
E00021,47,Male,Married,42278,Part-time,Central,0,0.4,1
E00022,55,Female,Married,47062,Full-time,Central,0,4.7,0
E00023,19,Female,Married,39247,Full-time,West,1,5.6,0
E00024,38,Male,Married,60399,Contract,South,1,0.2,0
E00025,50,Female,Divorced,68343,Full-time,North,0,1.2,0
E00026,29,Female,Single,57009,Full-time,South,0,1.4,0
E00027,39,Other,Married,54254,Contract,East,1,9.3,1
E00028,61,Female,Single,34411,Full-time,North,1,1.4,0
E00029,42,Male,Single,66400,Full-time,South,0,0.9,0
E00030,44,Male,Single,62598,Part-time,Central,1,2.9,1
E00031,59,Female,Divorced,54171,Contract,Central,1,0.5,0
E00032,45,Female,Widowed,45479,Full-time,West,1,2.9,1
E00033,33,Male,Single,50658,Contract,Central,1,1.8,0
E00034,32,Male,Divorced,36351,Contract,Central,1,3.9,1
E00035,64,Female,Married,27885,Full-time,East,1,2.6,0
E00036,61,Male,Married,45502,Full-time,North,0,0.6,1
E00037,20,Male,Single,37099,Contract,South,0,8.3,0
E00038,54,Male,Married,42385,Full-time,South,0,1.8,0
E00039,24,Male,Single,42680,Full-time,East,1,4.1,0
E00040,38,Male,Single,48829,Part-time,North,0,2.3,0
E00041,26,Female,Married,47844,Part-time,Central,1,6.0,0
E00042,56,Male,Married,20000,Part-time,East,1,1.2,0
E00043,35,Male,Married,55218,Part-time,Central,0,3.1,0
E00044,21,Male,Divorced,51972,Full-time,South,1,0.2,1
E00045,42,Male,Married,64417,Part-time,East,0,0.2,0
E00046,31,Male,Single,46792,Full-time,East,0,5.6,0
E00047,26,Female,Single,66266,Full-time,East,1,5.1,0
E00048,43,Female,Married,47704,Full-time,South,1,1.3,0
E00049,19,Male,Divorced,55101,Full-time,South,0,3.4,1
E00050,37,Male,Widowed,36242,Full-time,West,1,5.3,0
E00051,45,Male,Married,67041,Full-time,South,0,0.5,0
E00052,64,Female,Married,69499,Part-time,South,0,12.5,1
E00053,24,Female,Married,78249,Full-time,Central,0,6.5,1
E00054,61,Male,Single,41863,Full-time,South,0,3.5,0
E00055,25,Female,Single,57945,Full-time,North,1,2.4,0
E00056,64,Male,Married,28403,Contract,Central,1,6.8,0
E00057,52,Female,Divorced,21691,Part-time,West,1,4.0,0
E00058,31,Female,Widowed,58451,Full-time,North,1,2.6,0
E00059,34,Female,Single,48307,Contract,West,0,6.7,0
E00060,53,Female,Married,30723,Full-time,East,1,0.7,0
E00061,57,Male,Divorced,52686,Part-time,East,0,0.8,1
E00062,21,Female,Married,64004,Full-time,East,0,8.0,0
E00063,19,Female,Single,50946,Full-time,South,1,0.2,0
E00064,23,Female,Married,68427,Full-time,South,1,0.1,0
E00065,59,Male,Married,40088,Part-time,Central,0,4.7,0
E00066,21,Male,Married,66241,Full-time,North,1,1.6,1
E00067,46,Female,Married,44243,Full-time,North,1,7.4,0
E00068,35,Female,Married,68452,Part-time,East,1,1.1,0
E00069,43,Female,Single,30932,Full-time,East,0,1.0,0
E00070,61,Female,Single,53461,Contract,South,1,9.5,0
E00071,51,Female,Married,53429,Full-time,West,1,2.4,0
E00072,27,Female,Single,57156,Full-time,North,1,2.9,1
E00073,53,Female,Widowed,44728,Part-time,North,1,6.9,1
E00074,31,Female,Single,56475,Contract,West,0,1.4,0
E00075,48,Male,Married,47025,Part-time,North,1,0.9,1
E00076,32,Male,Divorced,42101,Full-time,North,0,2.5,1
E00077,25,Female,Single,71211,Intern,South,1,1.6,1
E00078,31,Male,Married,51170,Full-time,North,0,0.5,0
E00079,40,Female,Married,27292,Full-time,East,1,0.4,1
E00080,57,Male,Single,39904,Contract,East,1,3.9,1
E00081,38,Male,Divorced,71772,Full-time,Central,1,0.1,0
E00082,33,Female,Single,36370,Full-time,South,1,2.2,1
E00083,62,Female,Married,58112,Intern,South,0,1.2,1
E00084,35,Male,Single,39581,Full-time,East,1,0.5,1
E00085,64,Female,Single,28426,Full-time,South,1,6.6,1
E00086,41,Female,Divorced,57206,Full-time,South,1,4.0,0
E00087,43,Female,Married,45071,Contract,Central,0,4.4,0
E00088,42,Male,Single,73827,Full-time,West,0,1.7,0
E00089,62,Female,Married,66883,Full-time,North,0,3.1,0
E00090,58,Female,Married,68978,Full-time,Central,1,0.3,0
E00091,46,Male,Divorced,65991,Full-time,West,0,0.4,0
E00092,32,Female,Married,60342,Part-time,North,0,1.2,0
E00093,62,Female,Divorced,29512,Full-time,East,0,1.8,0
E00094,18,Female,Married,46490,Full-time,West,0,0.3,1
E00095,42,Female,Married,60063,Part-time,North,1,2.5,0
E00096,24,Male,Widowed,45643,Full-time,Central,0,0.8,0
E00097,26,Male,Single,49550,Contract,North,0,4.5,0
E00098,41,Female,Single,60869,Full-time,South,0,0.0,1
E00099,18,Female,Single,65840,Part-time,North,1,6.0,0
E00100,61,Female,Single,36161,Full-time,East,0,4.0,0
E00101,25,Female,Single,60050,Part-time,Central,0,2.4,1
E00102,41,Male,Married,58474,Contract,West,0,4.0,1
E00103,28,Male,Married,35166,Part-time,North,1,1.4,1
E00104,34,Male,Single,43902,Part-time,Central,1,0.5,1
E00105,25,Male,Single,52245,Part-time,East,1,0.0,0
E00106,52,Female,Single,70849,Full-time,West,1,2.4,0
E00107,52,Male,Married,43778,Full-time,North,0,1.0,0
E00108,50,Female,Married,56264,Contract,East,1,0.7,0
E00109,22,Male,Single,67531,Part-time,South,0,6.1,0
E00110,59,Female,Widowed,77820,Full-time,Central,1,3.9,0
E00111,56,Female,Married,53402,Full-time,Central,1,13.9,0
E00112,58,Male,Divorced,20000,Full-time,North,0,3.3,1
E00113,45,Male,Single,63851,Full-time,East,0,6.8,0
E00114,24,Male,Married,53166,Contract,West,1,0.4,1
E00115,26,Female,Married,37326,Part-time,West,1,3.8,0
E00116,25,Male,Married,60665,Full-time,West,0,0.3,1
E00117,29,Female,Married,77979,Full-time,West,0,0.3,1
E00118,51,Other,Widowed,53134,Full-time,North,1,5.9,0
E00119,50,Female,Married,25672,Full-time,North,0,1.3,1
E00120,40,Male,Married,71661,Full-time,Central,1,1.1,1
E00121,41,Female,Divorced,50339,Contract,East,1,0.6,0
E00122,54,Male,Married,60688,Full-time,South,1,2.0,0
E00123,52,Male,Married,50930,Full-time,North,1,0.7,1
E00124,61,Female,Single,56842,Full-time,West,1,2.3,0
E00125,57,Female,Divorced,59985,Contract,South,1,3.2,0
E00126,39,Male,Married,62104,Part-time,Central,1,3.2,1
E00127,44,Male,Married,52199,Full-time,West,1,1.4,0
E00128,52,Male,Single,38591,Full-time,East,0,3.7,0
E00129,18,Female,Married,52905,Intern,South,1,0.9,1
E00130,52,Male,Married,61828,Full-time,Central,1,4.9,1
E00131,54,Other,Married,38695,Part-time,North,1,0.0,0
E00132,64,Female,Married,33400,Full-time,East,1,10.2,1
E00133,31,Female,Single,69995,Part-time,West,1,1.7,0
E00134,20,Male,Single,75373,Full-time,South,1,1.2,1
E00135,18,Female,Married,50575,Contract,Central,0,2.9,0
E00136,22,Female,Single,59018,Contract,South,0,6.3,0
E00137,43,Female,Married,55636,Full-time,East,0,1.3,0
E00138,31,Male,Married,20000,Full-time,North,1,0.2,0
E00139,56,Male,Widowed,53100,Full-time,North,0,1.3,0
E00140,44,Male,Single,71989,Contract,East,0,0.0,1
E00141,26,Female,Single,32384,Full-time,West,0,0.6,0
E00142,32,Female,Married,31012,Full-time,South,0,0.2,0
E00143,32,Female,Married,39044,Full-time,West,1,1.5,0
E00144,43,Male,Single,42887,Part-time,Central,0,0.2,0
E00145,59,Male,Married,60007,Full-time,West,0,12.4,1
E00146,30,Male,Married,69809,Full-time,East,1,4.6,0
E00147,49,Male,Single,69457,Contract,North,1,1.6,0
E00148,56,Male,Single,59809,Part-time,East,0,4.7,1
